                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.59294,                 0.6219,                 2.1448,                0.38306,                0.39364,                0.39582,                 0.3046,                0.97128,                 2.3326,                 2.6209,             0.00010525,             0.00010525,             0.00010525
                     87,                0.59811,                0.60011,                 2.1559,                 0.4811,                0.34421,                0.39772,                0.31165,                0.94011,                 2.3585,                 2.5622,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.60811,                0.61912,                 2.2012,                0.46068,                0.36125,                0.39581,                0.30909,                0.95164,                  2.418,                 2.5618,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.59578,                0.58841,                 2.0923,                0.43656,                0.34571,                0.39493,                0.30893,                0.93406,                  2.418,                 2.5438,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.61096,                0.60431,                 2.1755,                0.37937,                0.40314,                0.39713,                0.30946,                0.96412,                 2.3824,                 2.5956,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.35524,                0.49494,                 1.7656,                 0.4069,                0.39806,                0.40908,                0.30577,                  1.014,                 2.4665,                 2.6677,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                 0.3513,                 0.4576,                 1.8183,                0.48448,                0.36306,                0.40747,                0.31961,                0.99797,                 2.4578,                 2.6009,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.35359,                0.39652,                 1.7387,                0.43592,                0.37852,                 0.3955,                0.30771,                0.99315,                 2.4386,                  2.577,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.34051,                0.39902,                 1.7649,                0.45394,                0.36886,                0.40698,                0.31911,                0.97505,                 2.3681,                 2.5746,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                 0.3226,                0.39094,                 1.7626,                0.38262,                0.42806,                0.40615,                0.32032,                0.96035,                 2.3625,                 2.5661,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.31187,                0.36496,                 1.7312,                0.44674,                0.37997,                0.40929,                0.32019,                0.95429,                 2.3732,                 2.5826,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.31188,                 0.3958,                  1.744,                0.44884,                0.39455,                0.42019,                0.32802,                0.94107,                 2.3363,                 2.5447,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                0.31874,                0.37359,                 1.7709,                0.57377,                 0.3298,                0.42145,                0.32898,                0.94778,                 2.3273,                 2.5451,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.30616,                0.36337,                 1.7503,                 0.3983,                0.39387,                0.41318,                0.32387,                0.93913,                 2.3266,                 2.5362,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.30267,                0.36265,                 1.7425,                0.44617,                0.37203,                 0.4124,                0.32484,                0.93872,                 2.3392,                 2.5299,             1.8625e-05,             1.8625e-05,             1.8625e-05
